block_number,transaction_index,operation,transaction_hash,amount,current_supply
19550628,57,mint,0x48b2cbd55bca8e0e7a01306dcbf1343e697b0eb3046560af6dbb008be8eedbfc,100,21100
19550628,58,mint,0x0487f237a0061bc94f519cdbdf4facbc967029b7382cf6af86b0e57ec23d6842,100,21200
19550628,59,mint,0x1d2e6f8886b95b3c444783d3de0fcbaa72731644d165a39ce2f72c87e174189c,100,21300
19550628,60,mint,0xe264484d9aa9e8f2e68315c26ddba908c23ac0b1880000b5d22ee89b96ad6115,100,21400
19550628,61,mint,0xd7a3fb8c8d4ecd1ec0f018ee4eab9087aa229c450230f529a29cf074e1ae99b3,100,21500
19550630,86,mint,0x13fb3559eda16d3e960d1c353f4c8205225e2b45728f0b6caa1245c7a8a5e18d,100,21600
19550632,59,mint,0xc4817be31c50e0699856a8c1f0825c8cb0cfa0b9f1a045891fb00cbbd69c42d9,100,21700
19550636,86,mint,0xd79f109acc0754aea395400c0cb3082c790082bb587c4e77f7aab7183303563f,100,21800
19550636,87,mint,0x882e14bf74ef8834e3c29193e9f84961ca470adb355caa92f8de97a9238c407f,100,21900
19550644,58,mint,0xcc2816d3c446491c344429782aace9235c05bc36d66d1edcd2c118674feb28b4,100,22000
19550645,61,mint,0x808d842d1d6fb5ae37fb673ed53b07d846e4e5854902d4a493fa804156921385,100,22100
19561016,66,mint,0x2821c709daa5884e9f610360153d085102df6b9bd324251d9efc98709fe153d1,100,22200
19561019,109,mint,0xc32d1ac741be304a5d8436d907bf917b8d7bca1f79732bbbf0cb371d9cf6e3f3,100,22300
19561023,40,mint,0x14a157b1f9c71547b9d75cb2188ed4f246a1d2cdc14addbe55ee13454f9132d8,100,22400
19561026,83,mint,0xea974da4444568946dd51307637f985c23aed7d152564e2b3983fc400dc0fc86,100,22500
19561029,118,mint,0x4b0a353ad04e3818be5361f46aa189e4f6ca1e5046153ddd961cd5295cf19b91,100,22600
19561036,121,mint,0x03091e9319a1f1f8c26b6d5f70057ca40be26c487a4a6c95b2617ed43f57b786,100,22700
19561039,115,mint,0x7e8670f86993854975c4618c18b8c5fc67982ba8750e0a6ca160831c78d2af94,100,22800
19561043,22,mint,0xadc4b9dab383956182adee0f8b017cfba3153569c0a3ab20a3e7c2ecf0864e93,100,22900
19561044,92,mint,0x8365572f249a72b412c9092b7e0b960feec1f7737f7ff22963246b9d2de42fc0,100,23000
19561054,82,mint,0x9f09d90bfcb2e6266a673f050cce3f6932a7afd015bfe599bef4d153cbf65a36,100,23100
19561054,83,mint,0xb9271cbe0b170989a93ba3984d0a34cf16dd668cb62c7cdcb0e004f77c92530e,100,23200
19561067,52,mint,0x0d9c473e25cf8fb05ab8359d8c243bfff7c478fa473e8c2632914688623ed733,100,23300
19561070,68,mint,0xea58356f94ef53175d17c936f6ee1b6ebf90744bdfcad984fbf58e9a83a6e39f,100,23400
