block_number,transaction_index,operation,transaction_hash,amount,current_supply
19535698,68,mint,0x46a64765d98debe9e0387b108dfef2910762ab3c9d2d10196ffc0d8fcf5caa00,10000,2952001
19535699,63,mint,0x24d2ee33d018fba787cbd9feb8ab51be467c2b1f59e3cdb553dcfba9cddbafa2,10000,2962001
19535705,136,mint,0x964db0bc63061fa7b21663740c18f67d4152fb3b21d32308123d52bed42c33e3,10000,2972001
19535705,137,mint,0x36b62ca189a412eec4cb8c41404e62239cd04b3e6916d10b60a4f24365e6508b,10000,2982001
19535709,64,mint,0x6b64943ee55ce4fc7387751610e170c6a873d8fffeb952452915f9ec41194f80,10000,2992001
19535709,140,mint,0x926e5c199dda0782d4ba010962393c99a97043327bc955d0c61871de766980bc,10000,3002001
19535711,44,mint,0xb88dc5351a0d2df1b28e81da2acc051689cc80c9b491643a515f0cd93e21eeb4,10000,3012001
19535712,56,mint,0x9443bdbfe11b23d8ebe026097a4ba59db5bba57a9c5f6a3ad36e01c7428bb4c4,10000,3022001
19536721,30,mint,0x3724c1660eb4e89a13093a3a98684c87eeabfc0c66fdfcbca23cf6de998cb438,10000,3032001
19537341,77,mint,0xd85bf6854eb339018e6f33bc160a7f398240314979c585de53e4dddf6e470a87,1000,3033001
19537361,40,mint,0x98003c9d80dec26c237a9b3946ab2b99d2e4af4f4f8611d80fc345756a31b82d,1000,3034001
19537362,53,mint,0x70d6607c2c1a0d673333f6be3722df8a2200dec4941106d586ac6074c0c1a52e,1000,3035001
19537366,63,mint,0x3087de634b69435f889482d4fbb2375f663f285f80d6accb3cb193e101d12e23,1000,3036001
19537472,96,mint,0x239bd039ea4fc080b47f98476b7de98c8bccf7606f693346b6ce53faac4cf302,10000,3046001
19537488,268,mint,0x8e5df1d6335c5c944aa9e49afd6b5df55f1cf01162378f3da58e1b2f7ce967a7,10000,3056001
19537525,54,mint,0xe4eb07e34d02da708acb4a98d1d77ef3d1ab38099956ab91815ce727edfbeca2,10000,3066001
19537533,113,mint,0xeadb576bcaafd1f98b338efa7a8eea33f4eb1a0c53e721bd75e9cb553a067463,10000,3076001
19537535,75,mint,0x91c16bbbe1249f06ef8ca297edfb566451dd1e90ed9987838e53d97348a365df,10000,3086001
